Nummer,Hervorheben,Sprache,Title,Inhalt,"Link 1 = ""Mehr erfahren""","Link 2 = ""Weiterer Link""",Link 3,Bild,URL-Quelle,Dateiname lokal
1,X,de,Freiwilligen­förderung,Die Arbeit der Freiwilligen für die Wikipedia und die Wikimedia-Projekte ist vielfältig – ebenso wie unsere zahlreichen Förderangebote. Wir unterstützen die Ehrenamtlichen beispielsweise bei der Planung von Veranstaltungen oder Reisen sowie bei der Zusammenarbeit mit Institutionen  wie Museen oder Archiven. Außerdem ermöglichen wir Ihnen Zugang zu Fachliteratur für die Artikelarbeit und verleihen Technik für die Erstellung von Foto- und Videoaufnahmen.,https://de.wikipedia.org/wiki/Wikipedia:F%C3%B6rderung,,,https://upload.wikimedia.org/wikipedia/commons/2/26/Gruppenfoto_WikiCon2017_IMG_9159_LR10_by_Stepro.jpg,https://commons.wikimedia.org/wiki/File:Gruppenfoto_WikiCon2017_IMG_9159_LR10_by_Stepro.jpg,Gruppenfoto_WikiCon2017_IMG_9159_LR10_by_Stepro.jpg
1,,de,Lokale Räume,"Im Rahmen der Ideenförderung unterstützt Wikimedia Deutschland den Aufbau lokaler Community-Räume und fester Treffpunkte in verschiedenen Städten Deutschlands, die von Ehrenamtlichen organisiert werden und für Workshops, Infoveranstaltungen, Redaktionstreffen und viele weitere Aktivitäten rund um Freies Wissen zur Verfügung stehen.",http://de.wikipedia.org/wiki/Wikipedia:F%C3%B6rderung/Lokales,,,https://upload.wikimedia.org/wikipedia/commons/4/47/Lokal_K_360_1.jpg,https://commons.wikimedia.org/wiki/File:Lokal_K_360_1.jpg,Lokal_K_360_1.jpg
1,,de,WLM und WLE,Wiki Loves Monuments (WLM) und Wiki Loves Earth (WLE) sind von Wikimedia-Aktiven organisierte und von Wikimedia Deutschland unterstützte Fotowettbewerbe rund um Kultur- und Baudenkmäler sowie Naturschutzgebiete. Alle können mitmachen – vom Foto-Laien bis zum Experten. Bei beiden Wettbewerben werden jährlich hunderttausende Fotos unter freier Lizenz im Medienarchiv Wikimedia Commons hochgeladen und machen dann z.B. die Wikipedia bunter.,http://de.wikipedia.org/wiki/Wikipedia:Wiki_Loves_Monuments,https://de.wikipedia.org/wiki/Wikipedia:Wiki_Loves_Earth_2018/Deutschland,,https://upload.wikimedia.org/wikipedia/commons/0/02/Leuchtturm_in_Westerheversand_crop.jpg,https://commons.wikimedia.org/wiki/File:Leuchtturm_in_Westerheversand_crop.jpg,Leuchtturm_in_Westerheversand_crop.jpg
1,,de,WikiCon,"Einmal im Jahr kommen die Communitys der deutschsprachigen Wikipedia, ihrer Schwesterprojekte sowie Freunde des Freien Wissens auf der WikiCon zusammen. Das Treffen, das an wechselnden Orten stattfindet, bietet den mehreren hundert Teilnehmenden ein ganzes Wochenende lang Zeit und Raum für Workshops, Vorträge, Diskussionsrunden und Exkursionen. Ein Highlight der WikiCon ist die feierliche Verleihung der WikiEule für besonderes Engagement in den Wikimedia-Projekten.",http://de.wikipedia.org/wiki/Wikipedia:WikiCon,,,https://upload.wikimedia.org/wikipedia/commons/7/7c/MJK_29970_Gruppenbild_WikiCon2018.jpg,https://commons.wikimedia.org/wiki/File:MJK_29970_Gruppenbild_WikiCon2018.jpg,MJK_29970_Gruppenbild_WikiCon2018.jpg
2,,de,Wikidata,"In der freien Wissensdatenbank Wikidata wird das Wissen der Welt sprachunabhängig für Mensch und Maschine auslesbar hinterlegt. Wikidata dient beispielsweise als Datenquelle für die fast 300 Sprachversionen der Wikipedia. Das Ziel von Wikidata ist, mehr Menschen mehr Zugang zu mehr Wissen zu ermöglichen. Alle Daten Wikidatas stehen unter einer freien Lizenz und können somit auch für andere Forschungs- und Wissensprojekte verwendet werden.",https://www.wikidata.org/,,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Wikidata_RollUP.pdf/page1-5019px-Wikidata_RollUP.pdf.jpg,https://commons.wikimedia.org/wiki/File:Wikidata_RollUP.pdf,page1-5019px-Wikidata_RollUP.pdf.jpg
2,X,de,Wikibase,Genauso wie die Daten aus unserer freien Wissensdatenbank Wikidata steht auch die dahinter liegende Software Wikibase unter einer freien Lizenz. Somit kann sie für externe Datenbank-Projekte z.B. aus Wissenschaft und Forschung benutzt werden. Gleichzeitig können externe Wissensprojekte mit den Daten aus Wikidata verknüpft und so neues Wissen sichtbar gemacht werden.,http://wikiba.se/,,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Wikibase_logo.svg/2000px-Wikibase_logo.svg.png,https://commons.wikimedia.org/wiki/File:Wikibase_logo.svg,2000px-Wikibase_logo.svg.jpg
2,,de,Technische Wünsche,"Mit dem Projekt Technische Wünsche verbessern wir die Software hinter der Wikipedia und ihren Schwesterprojekten, um die Arbeit der Ehrenamtlichen zu erleichtern. Wünsche aus der deutschen Wikipedia-Community, wie z.B. die Möglichkeit zur Beobachtung von Kategorien innerhalb Wikipedias, werden von Wikimedia Deutschland per Umfrage gesammelt, priorisiert und umgesetzt. ",https://de.wikipedia.org/wiki/Wikipedia:Technische_W%C3%BCnsche,,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Technical_Wishes_Project_logo_%28for_light_background%29.svg/2000px-Technical_Wishes_Project_logo_%28for_light_background%29.svg.png,https://commons.wikimedia.org/wiki/File:Technical_Wishes_Project_logo_(for_light_background).svg,2000px-Technical_Wishes_Project_logo_(for_light_background).svg.jpg
3,,de,Coding da Vinci,"Coding da Vinci ist mittlerweile der größte Kultur-Hackathon Deutschlands. Dabei stellen Kultureinrichtungen, Museen und Archive ihr digitales Datengut wie Mediendateien unter eine freie Lizenz und ermöglichen so kreativen Coderinnen und Codern, aus den offenen Kulturdaten der Regionen neue Softwareprodukte wie Apps oder Computerspiele zu entwickeln.",https://codingdavinci.de/,,,https://upload.wikimedia.org/wikipedia/commons/b/b7/Coding_da_Vinci_Sticker.png,https://commons.wikimedia.org/wiki/File:Coding_da_Vinci_Sticker.png,Coding_da_Vinci_Sticker.jpg
3,X,de,Fellow-Pogramm Freies Wissen,"Das Fellow-Programm Freies Wissen fördert das Prinzip der offenen Wissenschaft. Gemeinsam mit starken Partnern unterstützt Wikimedia Deutschland mit Stipendien, Workshops und der Hilfe von Mentorinnen und Mentoren junge Wissenschaftlerinnen und Wissenschaftler darin, ihre Forschungsergebnisse der ganzen Welt zugänglich zu machen und sich mit anderen Forschenden zu vernetzen.",https://de.wikiversity.org/wiki/Wikiversity:Fellow-Programm_Freies_Wissen,,,https://upload.wikimedia.org/wikipedia/commons/a/ad/Logo_Fellowprogramm_quer.png,https://commons.wikimedia.org/wiki/File:Logo_Fellowprogramm_quer.png,Logo_Fellowprogramm_quer.jpg
3,,de,Bündnis Freie Bildung,"Mit dem Bündnis Freie Bildung setzt sich Wikimedia Deutschland gemeinsam mit anderen Organisationen für Freies Wissen an Schulen und Hochschulen ein. Frei lizenzierte Materialien wie Lehrbücher, Arbeitsblätter und Lehrfilme würden dafür sorgen, dass Lernende und Lehrende freien Zugang zu Bildungsmaterialien hätten und diese nach Belieben kopieren, bearbeiten und aktuell halten könnten. Das Bündnis erarbeitet Positionen und Handlungsempfehlungen für politische und gesellschaftliche Entscheidungsträger.",https://buendnis-freie-bildung.de/,,,https://upload.wikimedia.org/wikipedia/commons/2/2a/Logo_B%C3%BCndnis_Freie_Bildung_hochkant.png,https://commons.wikimedia.org/wiki/Category:Buendnis_Freie_Bildung#/media/File:Logo_B%C3%BCndnis_Freie_Bildung_hochkant.png,Logo_Buendnis_Freie_Bildung_hochkant.jpg
3,,de,Politische Arbeit,"Wikimedia Deutschland und viele andere Organisationen engagieren sich dafür, möglichst günstige Rahmenbedingungen für Freies Wissen zu schaffen. So soll z.B. die derzeit laufende EU-Urheberrechtsreform zu einem guten Rechtsrahmen für das freie Internet führen. Eine Version des Reformvorschlags, der unter anderem Uploadfilter für Plattformen mit nutzergenerierten Inhalten (wie die Wikipedia) vorsah, konnte erfolgreich abgewehrt werden.",https://meta.wikimedia.org/wiki/DE_policy,,,https://upload.wikimedia.org/wikipedia/commons/5/56/No-Upload-Filter_Verteilaktion_%285%29.jpg,https://commons.wikimedia.org/wiki/File:No-Upload-Filter_Verteilaktion_(6).jpg,No-Upload-Filter_Verteilaktion_(5).jpg
3,,de,Daten sind das neue Grundwasser,"Wenn es um Daten geht, wird meist nur diskutiert, wer wie mit Daten Geld verdienen darf. Dadurch werden wichtige Fragen für Freies Wissen ausgeblendet: Wem sollen öffentliche Daten und ihre Verarbeitung nutzen? Wie können Schutz und Bewahrung von Daten sichergestellt werden? Wir meinen: In der Datenpolitik muss viel mehr über Gemeinwohl geredet werden. Dafür schlagen wir eine neue Daten-Metapher vor.",https://blog.wikimedia.de/2018/09/15/daten-sind-das-neue-grundwasser/,,,https://upload.wikimedia.org/wikipedia/commons/5/5d/Datenpumpe_09.png,https://commons.wikimedia.org/wiki/File:Datenpumpe_09.png,Datenpumpe_09.jpg
3,X,de,Wikimedia Salon,"Unter dem Prinzip „Das ABC des Freien Wissens“ werden Fragen zur vernetzten Gesellschaft durchbuchstabiert. Dabei bringt der Wikimedia-Salon Fachleute aus Politik, Kultur, Wissenschaft und Netzcommunity zusammen. Im Vordergrund stehen Themen und Konzepte, die zur freien Wissenserstellung und -verbreitung wichtig sind.",https://wmde.org/abc-salon,,,https://upload.wikimedia.org/wikipedia/commons/2/20/Politik_im_Netz._Podium.png,https://commons.wikimedia.org/wiki/File:Politik_im_Netz._Podium.png,Politik_im_Netz._Podium.jpg
3,,de,Monsters of Law,"Die Veranstaltungsreihe Monsters of Law wurde von Wikimedia Deutschland ins Leben gerufen, um sich juristischen Fragen rund um Freies Wissen und dessen Rahmenbedingungen anzunehmen. Im Dialog mit Expertinnen und Experten beschäftigen wir uns grundlegend mit Themen wie freie Lizenzen, Panoramafreiheit oder Leistungsschutzrechten.",https://www.wikimedia.de/wiki/Monsters_of_Law_-_Crashkurs_f%C3%BCr_die_Wiki-Welt,,,https://upload.wikimedia.org/wikipedia/commons/4/40/Monsters_of_Law_9_Jan_2018.jpg,https://commons.wikimedia.org/w/index.php?title=Special:Search&limit=50&offset=0&profile=default&search=monsters+of+law#/media/File:Monsters_of_Law_9_Jan_2018.jpg,Monsters_of_Law_9_Jan_2018.jpg
3,,de,GLAM on Tour,"Das Projekt GLAM on Tour fördert Kooperationen von Wikipedia-Aktiven und Kultureinrichtungen. Die Abkürzung GLAM steht dabei für Galleries, Libraries, Archives and Museums (Galerien, Bibliotheken, Archive und Museen). Bei Sonderführungen, wissenschaftlichen Vorträgen und Schreibwerkstätten erwerben Freiwillige zusätzliches Fachwissen und Bildmaterial, das sie anschließend in den Wikimedia-Projekten teilen. So sollen Kulturgüter befreit und der Menschheit kostenfrei zugänglich gemacht werden.",https://de.wikipedia.org/wiki/Wikipedia:GLAM/GLAM_on_Tour,,,https://upload.wikimedia.org/wikipedia/commons/b/b9/Berlin%2C_GLAM_on_Tour_%282018%29%2C_Jagdschloss_Grunewald_NIK_4875.jpg,"https://commons.wikimedia.org/wiki/File:Berlin,_GLAM_on_Tour_(2018),_Jagdschloss_Grunewald_NIK_4875.jpg","Berlin,_GLAM_on_Tour_(2018),_Jagdschloss_Grunewald_NIK_4875.jpg"
3,,de,Lizenz­hinweis­generator,"Der Lizenzhinweisgenerator hilft dabei, Bilder aus Wikipedia und dem freien Medienarchiv Wikimedia Commons einfach und rechtssicher nachzunutzen. Dabei werden die nötigen Lizenzinformationen automatisiert zusammengestellt, sodass auch juristische Laien bei der Verwendung von Bildern z.B. in privaten Blogs keine Urheberrechte verletzen. ",https://lizenzhinweisgenerator.de/,,,https://upload.wikimedia.org/wikipedia/commons/8/89/Lizenzhinweisgenerator_Webseitenansicht.png,https://commons.wikimedia.org/wiki/Category:Lizenzhinweisgenerator#/media/File:Lizenzhinweisgenerator_Webseitenansicht.png,Lizenzhinweisgenerator_Webseitenansicht.jpg
4,,de,Mitglieder­verein,"Seit der Gründung von Wikimedia Deutschland im Jahr 2004 ist die Zahl der Mitglieder stetig gestiegen. Mittlerweile unterstützen uns mehr als 65.000 Menschen mit einer Mitgliedschaft. Das höchste Entscheidungsorgan des Vereins ist die Mitgliederversammlung, die unter anderem alle zwei Jahre das ehrenamtliche Präsidium des Vereins wählt. ",Link auf die Mitgliederseite,,,https://upload.wikimedia.org/wikipedia/commons/0/00/171118_Wikimedia_MV_08.jpg,https://commons.wikimedia.org/wiki/File:171118_Wikimedia_MV_08.jpg,171118_Wikimedia_MV_08.jpg
4,,de,Wikimedia-Bewegung,"Wikimedia ist Teil einer weltweiten Bewegung, die sich für die Idee des Freien Wissens einsetzt. Alle Wikimedia-Projekte, wie z.B. Wikipedia, werden von der gemeinnützigen Wikimedia Foundation mit Sitz in San Francisco, USA, betrieben. Fast 40 unabhängige Länderorganisationen unterstützen die Wikimedia-Projekte vor Ort. Als gemeinnütziger Verein ist Wikimedia Deutschland die älteste und größte Ländervertretung seit Vereinsgründung 2004.",,,,https://commons.wikimedia.org/wiki/File:Wikimania_2016_-_group_photo_01.jpg,https://commons.wikimedia.org/w/index.php?search=wikimania+group+photo&title=Special%3ASearch&go=Go#/media/File:Wikimania_2016_-_group_photo_01.jpg,Wikimania_2016_-_group_photo_01.jpg
4,,de,Wikimedia 2030,"Was möchte die internationale Wikimedia-Bewegung in den nächsten 10-15 Jahren erreichen? In einem globalen Strategieprozess unter dem Namen “Wikimedia 2030” wurde erstmals eine gemeinsame strategische Ausrichtung der Bewegung beschlossen. Jetzt geht es darum, Konzepte wie “Gerechtigkeit des Wissens” und “Ökosystem des Freien Wissens”  weltweit umzusetzen und mit Leben zu füllen.",https://de.wikipedia.org/wiki/Wikipedia:Wiki_2030,,,https://upload.wikimedia.org/wikipedia/commons/f/fb/WM2030_1-01.png,https://commons.wikimedia.org/wiki/Category:Wikimedia_2030#/media/File:WM2030.png,WM2030_1-01.jpg